Date,Category,Value
2024-01-31,Stocks,4174
2024-02-29,Stocks,4507
2024-03-31,Stocks,1860
2024-04-30,Stocks,2294
2024-05-31,Stocks,2130
2024-06-30,Stocks,2095
2024-07-31,Stocks,4772
2024-08-31,Stocks,4092
2024-09-30,Stocks,2638
2024-10-31,Stocks,3169
2024-01-31,Bonds,1466
2024-02-29,Bonds,2238
2024-03-31,Bonds,1330
2024-04-30,Bonds,2482
2024-05-31,Bonds,3135
2024-06-30,Bonds,4444
2024-07-31,Bonds,4171
2024-08-31,Bonds,3919
2024-09-30,Bonds,4735
2024-10-31,Bonds,1130
2024-01-31,Crypto,2685
2024-02-29,Crypto,4380
2024-03-31,Crypto,1769
2024-04-30,Crypto,3391
2024-05-31,Crypto,2515
2024-06-30,Crypto,4485
2024-07-31,Crypto,3853
2024-08-31,Crypto,3433
2024-09-30,Crypto,2215
2024-10-31,Crypto,1955
2024-01-31,Commodities,3324
2024-02-29,Commodities,2184
2024-03-31,Commodities,1459
2024-04-30,Commodities,4385
2024-05-31,Commodities,1021
2024-06-30,Commodities,3300
2024-07-31,Commodities,1747
2024-08-31,Commodities,3904
2024-09-30,Commodities,4632
2024-10-31,Commodities,1474
2024-01-31,Forex,2082
2024-02-29,Forex,3558
2024-03-31,Forex,4753
2024-04-30,Forex,3047
2024-05-31,Forex,4547
2024-06-30,Forex,3747
2024-07-31,Forex,1975
2024-08-31,Forex,2806
2024-09-30,Forex,1189
2024-10-31,Forex,4005
